Name,Type,Group,Location,Subscription,x,y,z
Cashappqasfdiag001,Storage account,usdt-Cashapp-qa-centralus-rg-001,Central US,Cashapp Dev/Test,5,36,0
Cashappqasflogs001,Storage account,usdt-Cashapp-qa-centralus-rg-001,Central US,Cashapp Dev/Test,7.5,36,0
Cashappsqlauditingdev,Storage account,usdt-data-Cashapp-dev-centralus-rg-001,Central US,Cashapp Dev/Test,10,36,0
Cashappsqlauditinghf,Storage account,usdt-data-Cashapp-hf-centralus-rg-001,Central US,Cashapp Dev/Test,12.5,36,0
Cashappsqlauditingqa,Storage account,usdt-data-Cashapp-qa-centralus-rg-001,Central US,Cashapp Dev/Test,15,36,0
Cashappsqlauditinguat,Storage account,usdt-data-Cashapp-uat-centralus-rg-001,Central US,Cashapp UAT,17.5,36,0
Cashappsqlthreatsdev,Storage account,usdt-data-Cashapp-dev-centralus-rg-001,Central US,Cashapp Dev/Test,20,36,0
Cashappsqlthreatshf,Storage account,usdt-data-Cashapp-hf-centralus-rg-001,Central US,Cashapp Dev/Test,0,40,0
Cashappsqlthreatsqa,Storage account,usdt-data-Cashapp-qa-centralus-rg-001,Central US,Cashapp Dev/Test,2.5,40,0
Cashappsqlthreatsuat,Storage account,usdt-data-Cashapp-uat-centralus-rg-001,Central US,Cashapp UAT,5,40,0
Cashappuatsfdiag001,Storage account,usdt-Cashapp-uat-centralus-rg-001,Central US,Cashapp UAT,7.5,40,0
Cashappuatsflogs001,Storage account,usdt-Cashapp-uat-centralus-rg-001,Central US,Cashapp UAT,10,40,0
Cashappuatstoragebackup,Storage account,usdt-data-Cashapp-uat-centralus-rg-001,Central US,Cashapp UAT,12.5,40,0
Cashappusdtcosmosbackup,Storage account,usdt-backups-Cashapp-centralus-rg-001,Central US,Cashapp Dev/Test,15,40,0
catalog-mt-bbfa1,SQL server,wingtip-sql-mt-bbfa1,Central US,Dataapp Dev/Test,17.5,40,0
category-app-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test,20,40,0
category-app-uat-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test,0,44,0
category-fa-Cashapp-hf,Availability test,fa-Cashapp-hf-tests,West US 2,Cashapp Dev/Test,2.5,44,0
category-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test,5,44,0
category-info-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test,7.5,44,0
category-info-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test,10,44,0
category-info-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test,12.5,44,0
cf-uat-eh,Event Hubs Namespace,sf-data-uat,West US 2,Cashapp Dev/Test,15,44,0
cfdevteststorage,Storage account,Cashapp-ase,West US 2,Cashapp Dev/Test,17.5,44,0
cfusdtcosmoshfbackups,Storage account,usdt-backups-Cashapp-centralus-rg-001,Central US,Cashapp Dev/Test,20,44,0
client-app-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test,0,48,0
client-app-uat-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test,2.5,48,0
client-fa-Cashapp-hf,Availability test,fa-Cashapp-hf-tests,West US 2,Cashapp Dev/Test,5,48,0
client-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test,7.5,48,0
client-info-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test,10,48,0
client-info-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test,12.5,48,0
clinet-info-uat-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test,15,48,0
clt-f3e073e8-57fa-415e-90b3-3e7eeed4e63c,Azure DevOps organization,vs-clt-f3e073e8-57fa-415e-90b3-3e7eeed4e63c-group,South Central US,Cashapp Dev/Test,17.5,48,0
comment-app-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test,20,48,0
comment-app-uat-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test,0,52,0
comment-fa-Cashapp-hf,Availability test,fa-Cashapp-hf-tests,West US 2,Cashapp Dev/Test,2.5,52,0
comment-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test,5,52,0
comment-info-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test,7.5,52,0
comment-info-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test,10,52,0
comment-info-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test,12.5,52,0
commondataservice,API Connection,fa-dev-infrastructure,West US,Dataapp Dev/Test,15,52,0
ContainerInsights(defaultworkspace-db5e8945-f308-4ddb-a061-e58473c2c016-eus),Solution,defaultresourcegroup-eus,East US,Dataapp Dev/Test,17.5,52,0
ContainerInsights(dh-shared-log-analytics),Solution,defaultresourcegroup-cus,Central US,Dataapp Dev/Test,20,52,0
ContainerInsights(usdt-logging-devops-law-001),Solution,usdt-aks-devops-centralus-rg-01,Central US,DevOps Dev/Test,0,56,0
ContainerInsights(usdt-logging-shared-law-001),Solution,usdt-aks-shared-centralus-rg-01,Central US,DevOps Dev/Test,2.5,56,0
ContainerInsights(usdt-manage-shared-centralus-law-001),Solution,usdt-manage-shared-centralus-rg-001,Central US,DevOps Dev/Test,5,56,0
conversionservice,API Connection,fa-dev-infrastructure,Central US,Dataapp Dev/Test,7.5,56,0
costa-cnx-d365-fx-extract,Logic app,Company1-cnx-dynamics,West US,Dataapp Dev/Test,10,56,0
cs210032000ad24aeb9,Storage account,cloud-shell-storage-eastus,East US,Cashapp Dev/Test,12.5,56,0
cs2a7a2514f1b96x4deex84c,Storage account,cloud-shell-storage-eastus,East US,Cashapp Dev/Test,15,56,0
cs410030000a92eba0e,Storage account,cloud-shell-storage-westus,West US,Dataapp Dev/Test,17.5,56,0
cs41003200054d219f8,Storage account,cloud-shell-storage-westus,West US,Cashapp Dev/Test,20,56,0
cs4a7a2514f1b96x4deex84c,Storage account,cloud-shell-storage-westus,West US,Cashapp Dev/Test,0,60,0
cs4db5e8945f308x4ddbxa06,Storage account,cloud-shell-storage-westus,West US,Dataapp Dev/Test,2.5,60,0
cs7100320010f21ecca,Storage account,cloud-shell-storage-southcentralus,South Central US,Cashapp Dev/Test,5,60,0
currency-app-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test,7.5,60,0
currency-app-uat-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test,10,60,0
currency-fa-Cashapp-hf,Availability test,fa-Cashapp-hf-tests,West US 2,Cashapp Dev/Test,12.5,60,0
currency-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test,15,60,0
currency-info-fa-Cashapp-qa,Availability test,fa-Cashapp-qa-tests,West US 2,Cashapp Dev/Test,17.5,60,0
currency-info-sf-logging-dev,Availability test,fa-Cashapp-dev-tests,West US 2,Cashapp Dev/Test,20,60,0
currency-info-uat-sf-logging-uat,Availability test,fa-Cashapp-uat-tests,West US 2,Cashapp Dev/Test,0,64,0
D365-Company1-ERP-Import,API Connection,fa-dev-infrastructure,West US,Dataapp Dev/Test,2.5,64,0
D365-Company1-ERP-Import,Logic apps custom connector,fa-dev-infrastructure,West US,Dataapp Dev/Test,5,64,0
D365-to-Company1-Demo,Logic app,fa-dev-infrastructure,West US,Dataapp Dev/Test,7.5,64,0
data hub report api-usdt-Dataapp-csdev-tests-centralus-appi,Availability test,usdt-Dataapp-csdev-tests-centralus-rg-001,Central US,Dataapp Dev/Test,10,64,0
Dataapp workflow api service  v1-usdt-Dataapp-csdev-tests-centralus-appi,Availability test,usdt-Dataapp-csdev-tests-centralus-rg-001,Central US,Dataapp Dev/Test,12.5,64,0
Dataapp-devops,Function App,Dataapp-devops,Central US,Dataapp Dev/Test,15,64,0
Dataapp-devops,Application Insights,Dataapp-devops,Central US,Dataapp Dev/Test,17.5,64,0
Dataapp-devops-ai,Application Insights,Dataapp-devops,Central US,Dataapp Dev/Test,20,64,0
DataappAutomation,Automation Account,fa-dev-infrastructure,Central US,Dataapp Dev/Test,0,68,0
Dataapptfstate21,Storage account,Dataapp-tfstate,Central US,Dataapp Dev/Test,2.5,68,0
DefaultQueryPack,Log Analytics query pack,loganalyticsdefaultresources,West US 2,Dataapp Dev/Test,5,68,0
DefaultWorkspace-4d5bd3d4-df16-4662-934b-6d778c438235-CUS,Log Analytics workspace,defaultresourcegroup-cus,Central US,DevOps Dev/Test,7.5,68,0
DefaultWorkspace-a7a2514f-1b96-4dee-84c6-7e6056ba5097-CUS,Log Analytics workspace,defaultresourcegroup-cus,Central US,Cashapp Dev/Test,10,68,0
DefaultWorkspace-a7a2514f-1b96-4dee-84c6-7e6056ba5097-EAU,Log Analytics workspace,defaultresourcegroup-eau,Australia East,Cashapp Dev/Test,12.5,68,0
DefaultWorkspace-a7a2514f-1b96-4dee-84c6-7e6056ba5097-EUS,Log Analytics workspace,defaultresourcegroup-eus,East US,Cashapp Dev/Test,15,68,0
DefaultWorkspace-a7a2514f-1b96-4dee-84c6-7e6056ba5097-WCUS,Log Analytics workspace,defaultresourcegroup-wcus,West Central US,Cashapp Dev/Test,17.5,68,0
DefaultWorkspace-a7a2514f-1b96-4dee-84c6-7e6056ba5097-WUS,Log Analytics workspace,defaultresourcegroup-wus,West US,Cashapp Dev/Test,20,68,0
DefaultWorkspace-a7a2514f-1b96-4dee-84c6-7e6056ba5097-WUS2,Log Analytics workspace,defaultresourcegroup-wus2,West US 2,Cashapp Dev/Test,0,72,0
DefaultWorkspace-b3df7fa9-7793-48df-9f1d-188d5a08abf7-WUS,Log Analytics workspace,defaultresourcegroup-wus,West US,Dynamics Dev/Test,2.5,72,0
DefaultWorkspace-db5e8945-f308-4ddb-a061-e58473c2c016-CUS,Log Analytics workspace,defaultresourcegroup-cus,Central US,Dataapp Dev/Test,5,72,0
DefaultWorkspace-db5e8945-f308-4ddb-a061-e58473c2c016-EAU,Log Analytics workspace,defaultresourcegroup-eau,Australia East,Dataapp Dev/Test,7.5,72,0
DefaultWorkspace-db5e8945-f308-4ddb-a061-e58473c2c016-EUS,Log Analytics workspace,defaultresourcegroup-eus,East US,Dataapp Dev/Test,10,72,0
DefaultWorkspace-db5e8945-f308-4ddb-a061-e58473c2c016-WUS,Log Analytics workspace,defaultresourcegroup-wus,West US,Dataapp Dev/Test,12.5,72,0
DefaultWorkspace-db5e8945-f308-4ddb-a061-e58473c2c016-WUS2,Log Analytics workspace,defaultresourcegroup-wus2,West US 2,Dataapp Dev/Test,15,72,0
demo-1,Virtual machine,kygold,West US,Dynamics Dev/Test,17.5,72,0
demo-1,SQL virtual machine,kygold,West US,Dynamics Dev/Test,20,72,0
demo-1,Virtual machine,Company1-gold,West US,Dynamics Dev/Test,0,76,0
demo-1,SQL virtual machine,Company1-gold,West US,Dynamics Dev/Test,2.5,76,0
demo-buildDisk,Disk,kygold,West US,Dynamics Dev/Test,5,76,0
demo-buildDisk,Disk,Company1-gold,West US,Dynamics Dev/Test,7.5,76,0
demo-dataDisk0,Disk,kygold,West US,Dynamics Dev/Test,10,76,0
demo-dataDisk0,Disk,Company1-gold,West US,Dynamics Dev/Test,12.5,76,0
demo-dataDisk1,Disk,kygold,West US,Dynamics Dev/Test,15,76,0
demo-dataDisk1,Disk,Company1-gold,West US,Dynamics Dev/Test,17.5,76,0
demo-dataDisk10,Disk,kygold,West US,Dynamics Dev/Test,20,76,0
demo-dataDisk10,Disk,Company1-gold,West US,Dynamics Dev/Test,0,80,0
demo-dataDisk11,Disk,kygold,West US,Dynamics Dev/Test,2.5,80,0
demo-dataDisk11,Disk,Company1-gold,West US,Dynamics Dev/Test,5,80,0
demo-dataDisk12,Disk,kygold,West US,Dynamics Dev/Test,7.5,80,0
demo-dataDisk12,Disk,Company1-gold,West US,Dynamics Dev/Test,10,80,0
demo-dataDisk13,Disk,kygold,West US,Dynamics Dev/Test,12.5,80,0
demo-dataDisk13,Disk,Company1-gold,West US,Dynamics Dev/Test,15,80,0
demo-dataDisk14,Disk,kygold,West US,Dynamics Dev/Test,17.5,80,0
demo-dataDisk14,Disk,Company1-gold,West US,Dynamics Dev/Test,20,80,0
demo-dataDisk2,Disk,kygold,West US,Dynamics Dev/Test,0,84,0
demo-dataDisk2,Disk,Company1-gold,West US,Dynamics Dev/Test,2.5,84,0
demo-dataDisk3,Disk,kygold,West US,Dynamics Dev/Test,5,84,0
demo-dataDisk3,Disk,Company1-gold,West US,Dynamics Dev/Test,7.5,84,0
demo-dataDisk4,Disk,kygold,West US,Dynamics Dev/Test,10,84,0
demo-dataDisk4,Disk,Company1-gold,West US,Dynamics Dev/Test,12.5,84,0
demo-dataDisk5,Disk,kygold,West US,Dynamics Dev/Test,15,84,0
demo-dataDisk5,Disk,Company1-gold,West US,Dynamics Dev/Test,17.5,84,0
demo-dataDisk6,Disk,kygold,West US,Dynamics Dev/Test,20,84,0
demo-dataDisk6,Disk,Company1-gold,West US,Dynamics Dev/Test,0,88,0
demo-dataDisk7,Disk,kygold,West US,Dynamics Dev/Test,2.5,88,0
demo-dataDisk7,Disk,Company1-gold,West US,Dynamics Dev/Test,5,88,0
demo-dataDisk8,Disk,kygold,West US,Dynamics Dev/Test,7.5,88,0
demo-dataDisk8,Disk,Company1-gold,West US,Dynamics Dev/Test,10,88,0
demo-dataDisk9,Disk,kygold,West US,Dynamics Dev/Test,12.5,88,0
demo-dataDisk9,Disk,Company1-gold,West US,Dynamics Dev/Test,15,88,0
demo-loadbalancer,Load balancer,kygold,West US,Dynamics Dev/Test,17.5,88,0
demo-loadbalancer,Load balancer,Company1-gold,West US,Dynamics Dev/Test,20,88,0
demo-nic-0,Network Interface,kygold,West US,Dynamics Dev/Test,0,92,0
demo-nic-0,Network Interface,Company1-gold,West US,Dynamics Dev/Test,2.5,92,0
demo-osdisk,Disk,kygold,West US,Dynamics Dev/Test,5,92,0
demo-osdisk,Disk,Company1-gold,West US,Dynamics Dev/Test,7.5,92,0
deploy-bot-dev,Web App Bot,deploy-bot,Global,Cashapp Dev/Test,10,92,0
deploy-bot-dev,App Service,deploy-bot,West Central US,Cashapp Dev/Test,12.5,92,0
deploybotdev905c,Storage account,deploy-bot,West Central US,Cashapp Dev/Test,15,92,0
dev-data-Oms-Workspace,Log Analytics workspace,fa-dev-data,East US,Dataapp Dev/Test,17.5,92,0
dev5baeee6929-1,Virtual machine,kydev,West US,Dynamics Dev/Test,20,92,0
dev5baeee6929-1,SQL virtual machine,kydev,West US,Dynamics Dev/Test,0,96,0
dev5baeee6929-buildDisk,Disk,kydev,West US,Dynamics Dev/Test,2.5,96,0
dev5baeee6929-dataDisk0,Disk,kydev,West US,Dynamics Dev/Test,5,96,0
dev5baeee6929-dataDisk1,Disk,kydev,West US,Dynamics Dev/Test,7.5,96,0
dev5baeee6929-dataDisk2,Disk,kydev,West US,Dynamics Dev/Test,10,96,0
dev5baeee6929-loadbalancer,Load balancer,kydev,West US,Dynamics Dev/Test,12.5,96,0
dev5baeee6929-nic-0,Network Interface,kydev,West US,Dynamics Dev/Test,15,96,0
dev5baeee6929-osdisk,Disk,kydev,West US,Dynamics Dev/Test,17.5,96,0
devcd71760476-1,Virtual machine,kytest,West US,Dynamics Dev/Test,20,96,0
devcd71760476-1,SQL virtual machine,kytest,West US,Dynamics Dev/Test,0,100,0
devcd71760476-buildDisk,Disk,kytest,West US,Dynamics Dev/Test,2.5,100,0
devcd71760476-dataDisk0,Disk,kytest,West US,Dynamics Dev/Test,5,100,0
